,type,time,a,e,i,aT,eT,iT,x,y,z,vx,vy,vz,latitude,longitude,altitude,q_dot
0,orbit,0,6795.098394994921,0.0005997687877678285,51.60000000000001,6943.1,0.001,51.6,597.122689204214,6679.046447535359,1073.737740981308,-4.885433449817632,-0.5079665738934277,5.8824709831208635,9.153758361542573,85.6432553602445,413506.66642847285,0.0
0,orbit,180,6795.097046849562,0.0005995866285215073,51.60000000000001,6943.1,0.001,51.6,-288.4930291895191,6451.012519020671,2103.2601180583038,-4.9209056154444655,-2.0170041170662705,5.517340329834196,18.14760466394713,94.06469941918664,415276.9927789215,0.0
0,orbit,360,6795.0955701288785,0.0005994085029765424,51.60000000000001,6943.1,0.001,51.6,-1162.25583625033,5957.916937680661,3046.363930072977,-4.754197612108772,-3.442957432869856,4.925582297187763,26.794996114486068,103.29464686311871,417936.97345089633,0.0
0,orbit,540,6795.094381892356,0.0005992882984783706,51.599999999999994,6943.1,0.001,51.6,-1988.2730285543057,5220.062784554575,3864.3209434633736,-4.392238739879877,-4.727191337691302,4.1316214867046455,34.8445237700081,113.85957845061367,421100.6788581405,0.0
0,orbit,720,6795.09323644526,0.0005991994829296412,51.59999999999999,6943.1,0.001,51.6,-2732.630440742873,4267.811921617348,4523.566196586083,-3.850004684609439,-5.816963089220845,3.168201258259052,41.932322863308244,126.39122621836519,424318.1647766223,0.0
0,orbit,900,6795.092273173779,0.0005991506242630811,51.59999999999999,6943.1,0.001,51.6,-3364.788488518002,3140.3241883913765,4997.076691275417,-3.1498826913267277,-6.6675962788037415,2.07501249310422,47.5331180177936,141.4885690859903,427146.45069587044,0.0
0,orbit,1080,6795.0913055193605,0.0005991295133514426,51.59999999999999,6943.1,0.001,51.6,-3858.8357987427544,1883.935138549355,5265.476665742567,-2.3207295341230796,-7.244308711592599,0.8970375488110716,50.97815393280543,159.24211953408079,429217.80162587576,0.0
0,orbit,1260,6795.090424793387,0.0005991365491029012,51.59999999999999,6943.1,0.001,51.6,-4194.548772972634,550.241552470148,5317.824556380364,-1.3966656401021293,-7.523621217135781,-0.31731737302032953,51.67223152922119,178.54302367155046,430294.65984811354,0.0
0,orbit,1440,6795.089423473838,0.0005991740677098992,51.59999999999999,6943.1,0.001,51.6,-4358.214231429204,-806.0246049400595,5152.050698338549,-0.4156578814871438,-7.4942914637764675,-1.518221583471293,49.47392437560756,-162.75342428601328,430303.1208351953,0.0
0,orbit,1620,6795.088465354804,0.0005992367407653116,51.59999999999999,6943.1,0.001,51.6,-4343.182487499844,-2129.244934592597,4775.029602960882,0.5820476233790906,-7.157740455903241,-2.6564666434156488,44.8106562207548,-146.36307470650846,429340.3100346867,0.0
