,t,a,e,i
0,12600,6795.0162400906975,0.0005986070813860301,51.600000000000044
0,12780,6795.015272837757,0.0005986719481817206,51.600000000000044
0,12960,6795.014275579843,0.0005987638130261279,51.600000000000044
0,13140,6795.013237656748,0.0005988814999543879,51.60000000000003
0,13320,6795.011971313799,0.0005990461233085941,51.60000000000003
0,13500,6795.01081789926,0.0005992090685467167,51.60000000000003
0,13680,6795.009526069482,0.000599398639655177,51.60000000000003
0,13860,6795.008333439861,0.0005995730044135246,51.60000000000002
0,14040,6795.007016805495,0.0005997568947474327,51.60000000000003
0,14220,6795.005835031137,0.0005999074694177309,51.60000000000003
0,14400,6795.00482553336,0.0006000184609842622,51.600000000000044
0,14580,6795.003833575751,0.0006001057370278888,51.600000000000044
0,14760,6795.002864227147,0.0006001662476503314,51.600000000000044
0,14940,6795.001823823559,0.0006002019502691427,51.600000000000044
0,15120,6795.000873207078,0.0006002065214057759,51.600000000000044
0,15300,6794.999768614154,0.0006001790272523093,51.60000000000003
0,15480,6794.998753263101,0.0006001246369077149,51.60000000000003
0,15660,6794.997711512384,0.0006000412418337341,51.60000000000003
0,15840,6794.996341209299,0.0005998997486796651,51.60000000000002
0,16020,6794.994939645928,0.0005997284331240938,51.60000000000002
0,16200,6794.993493748237,0.0005995314984903468,51.60000000000003
0,16380,6794.991919436357,0.0005993038648941743,51.60000000000002
0,16560,6794.990233099385,0.0005990558837801182,51.60000000000002
0,16740,6794.9885860690865,0.0005988195729338352,51.60000000000003
0,16920,6794.987179655201,0.0005986311073071221,51.60000000000003
0,17100,6794.985764153283,0.000598462634670322,51.60000000000003
0,17280,6794.984444792407,0.0005983318394728417,51.60000000000003
0,17460,6794.983226597243,0.000598240270021008,51.60000000000003
0,17640,6794.98219997401,0.0005981908830166412,51.60000000000002
0,17820,6794.981204701118,0.0005981719095811964,51.600000000000016
0,18000,6794.980312753597,0.0005981815116110837,51.60000000000002
0,18180,6794.979279585011,0.0005982229986749152,51.600000000000044
0,18360,6794.9782029404605,0.0005982961015102985,51.600000000000044
0,18540,6794.9772447744335,0.0005983850676997584,51.600000000000044
0,18720,6794.976048934368,0.0005985213776201777,51.600000000000044
0,18900,6794.974909223958,0.0005986700417411313,51.600000000000044
0,19080,6794.9736790559,0.0005988441547189751,51.600000000000044
0,19260,6794.972457623921,0.0005990234881435243,51.600000000000044
0,19440,6794.971259286712,0.0005991985497419532,51.60000000000005
0,19620,6794.969981327892,0.0005993766536609864,51.60000000000005
0,19800,6794.968913578262,0.0005995121922991438,51.60000000000005
0,19980,6794.967739530654,0.0005996405367719857,51.60000000000005
0,20160,6794.966675636116,0.0005997333382627139,51.600000000000065
0,20340,6794.965608132884,0.0005997990682159206,51.60000000000007
0,20520,6794.964650547697,0.0005998310549287487,51.60000000000007
0,20700,6794.963766213806,0.0005998344758459305,51.600000000000065
0,20880,6794.962795661932,0.0005998094150758813,51.600000000000065
0,21060,6794.961670913159,0.0005997481753697249,51.600000000000065
0,21240,6794.960580625523,0.0005996600336858773,51.60000000000007
0,21420,6794.959420185579,0.0005995394310448807,51.60000000000008
0,21600,6794.957963211187,0.0005993605771790896,51.60000000000008
0,21780,6794.956612474328,0.0005991761230015552,51.60000000000007
0,21960,6794.954943710764,0.000598934545994312,51.600000000000065
0,22140,6794.953529843452,0.0005987266607290492,51.600000000000065
0,22320,6794.952152948631,0.0005985293984357602,51.600000000000065
0,22500,6794.950715052971,0.0005983372791921116,51.60000000000007
0,22680,6794.949248073391,0.0005981635009960181,51.600000000000065
0,22860,6794.947978666643,0.0005980385510064797,51.600000000000065
0,23040,6794.946869126296,0.0005979560546381195,51.60000000000007
0,23220,6794.94590565399,0.000597910567593148,51.60000000000007
0,23400,6794.945001025862,0.0005978941688865636,51.600000000000065
0,23580,6794.943963168883,0.0005979063196725847,51.60000000000005
0,23760,6794.942896395018,0.0005979501290318885,51.600000000000065
0,23940,6794.941893732515,0.0005980190511188803,51.600000000000065
0,24120,6794.940853363662,0.000598116414121767,51.600000000000065
0,24300,6794.939697537056,0.0005982488554842813,51.600000000000065
0,24480,6794.9385318366885,0.0005984014206729043,51.600000000000065
0,24660,6794.937330609571,0.0005985717494333329,51.60000000000005
0,24840,6794.936011881079,0.0005987654610699577,51.60000000000005
0,25020,6794.93474424939,0.0005989504915571902,51.600000000000044
0,25200,6794.933600750667,0.0005991095032023852,51.600000000000044
0,25380,6794.9324794177155,0.000599251301597277,51.600000000000044
0,25560,6794.931486630324,0.0005993591964824908,51.600000000000044
0,25740,6794.930498262108,0.0005994446482613874,51.60000000000003
0,25920,6794.929540862754,0.0005995027648075287,51.60000000000003
0,26100,6794.928531541076,0.0005995355366723558,51.60000000000003
0,26280,6794.9276305142885,0.0005995381595196852,51.60000000000003
0,26460,6794.926699991071,0.000599513254920068,51.60000000000003
0,26640,6794.925631199172,0.0005994541096177899,51.60000000000002
0,26820,6794.924520891161,0.000599363459482665,51.600000000000016
0,27000,6794.923274365425,0.0005992330653983571,51.600000000000016
0,27180,6794.9218336432,0.0005990554479764078,51.60000000000001
0,27360,6794.92024252372,0.000598837604498706,51.599999999999994
0,27540,6794.918580892574,0.0005985967825138675,51.59999999999999
0,27720,6794.91707465216,0.0005983753551969833,51.59999999999999
0,27900,6794.915692222223,0.0005981776028842492,51.59999999999999
0,28080,6794.914199080053,0.0005979787043180303,51.59999999999998
0,28260,6794.912871179766,0.0005978221589386305,51.599999999999966
0,28440,6794.911708964497,0.0005977085881195939,51.599999999999966
0,28620,6794.910557734367,0.000597623943500662,51.599999999999966
0,28800,6794.90952325616,0.0005975760443137659,51.599999999999966
0,28980,6794.908427201353,0.0005975572242198058,51.599999999999966
0,29160,6794.9073679058365,0.0005975706480194552,51.59999999999996
0,29340,6794.906301418544,0.000597615437063274,51.59999999999996
0,29520,6794.905222187527,0.0005976905471665047,51.59999999999996
0,29700,6794.904180544888,0.0005977888091601597,51.59999999999996
0,29880,6794.903117270915,0.0005979112915386893,51.59999999999995
0,30060,6794.901976962391,0.0005980610376962524,51.59999999999995
0,30240,6794.9006979688875,0.0005982427249793218,51.59999999999996
0,30420,6794.899333187653,0.0005984432910955634,51.599999999999966
0,30600,6794.898168736654,0.0005986131086443702,51.59999999999996
0,30780,6794.897028969693,0.0005987712347467248,51.59999999999994
0,30960,6794.895796308073,0.0005989264962806056,51.59999999999995
0,31140,6794.894636150417,0.000599051822135722,51.59999999999996
0,31320,6794.8935608081,0.00059914395357809,51.59999999999995
0,31500,6794.892647971583,0.0005991985635435225,51.59999999999995
0,31680,6794.89165588615,0.0005992298426129432,51.59999999999995
0,31860,6794.890751973458,0.0005992316024820584,51.59999999999995
0,32040,6794.889721804103,0.0005992030564266131,51.59999999999995
0,32220,6794.888590835228,0.0005991394654937275,51.59999999999996
0,32400,6794.887307082933,0.000599033634861686,51.59999999999996
0,32580,6794.886014954216,0.0005988976061789322,51.599999999999966
0,32760,6794.884500397813,0.0005987101019862437,51.59999999999996
0,32940,6794.882945669358,0.0005984967027999778,51.59999999999996
0,33120,6794.8813059142685,0.0005982587885266573,51.59999999999995
0,33300,6794.8798875868615,0.000598050331150564,51.59999999999993
0,33480,6794.878309129025,0.0005978248920217021,51.59999999999994
0,33660,6794.876941914113,0.0005976433250547919,51.59999999999994
0,33840,6794.875687662574,0.0005974961805936574,51.59999999999994
0,34020,6794.874485248063,0.0005973795417897037,51.59999999999994
0,34200,6794.873377019985,0.0005972989773459015,51.59999999999994
0,34380,6794.872322893799,0.0005972511253166526,51.59999999999995
0,34560,6794.871363181992,0.0005972355558258901,51.59999999999995
0,34740,6794.87029416365,0.0005972501165775769,51.59999999999995
0,34920,6794.869306381074,0.0005972925001238949,51.59999999999995
0,35100,6794.868336181298,0.0005973608318152703,51.59999999999994
0,35280,6794.867289485401,0.0005974603299077933,51.59999999999994
0,35460,6794.866232021665,0.0005975827648475288,51.59999999999995
0,35640,6794.864963889257,0.0005977498382476172,51.59999999999994
0,35820,6794.863814969007,0.0005979133324955373,51.59999999999994
0,36000,6794.862643025564,0.0005980856274846864,51.59999999999994
0,36180,6794.861316071854,0.0005982789663641152,51.59999999999996
0,36360,6794.860111865373,0.0005984456480158959,51.59999999999994
0,36540,6794.858924742555,0.0005985945895476686,51.59999999999995
0,36720,6794.857849870261,0.0005987100085331904,51.59999999999996
0,36900,6794.856837623462,0.0005987959511169984,51.59999999999995
0,37080,6794.855808002154,0.0005988566542783663,51.59999999999996
0,37260,6794.854761278166,0.0005988886885234979,51.59999999999995
0,37440,6794.853774961615,0.000598889678375754,51.59999999999994
0,37620,6794.8527343358155,0.0005988598804036765,51.59999999999995
0,37800,6794.851545730538,0.0005987920162575996,51.59999999999996
0,37980,6794.8502960404585,0.000598688021496428,51.59999999999996
0,38160,6794.849037974402,0.0005985547529940242,51.59999999999996
0,38340,6794.847748295949,0.0005983944332460281,51.59999999999996
0,38520,6794.846263683367,0.0005981901552161486,51.59999999999996
0,38700,6794.844749861152,0.0005979702803359325,51.599999999999966
0,38880,6794.843146884259,0.0005977347461130947,51.59999999999998
0,39060,6794.841774632789,0.0005975390725087195,51.59999999999998
0,39240,6794.840283705628,0.0005973416891320404,51.59999999999998
0,39420,6794.838948253427,0.0005971857890476019,51.59999999999999
0,39600,6794.837667721291,0.0005970624947716411,51.59999999999999
0,39780,6794.836493810425,0.0005969781350677741,51.59999999999999
0,39960,6794.835438002353,0.000596931171693344,51.59999999999999
0,40140,6794.834466272395,0.0005969163354129725,51.59999999999999
0,40320,6794.833445043545,0.0005969312217170729,51.599999999999994
0,40500,6794.832379792286,0.0005969779081236168,51.599999999999994
0,40680,6794.831377285527,0.0005970493622408017,51.599999999999994
0,40860,6794.830317126785,0.0005971509191986709,51.599999999999994
0,41040,6794.829230883512,0.0005972773318493717,51.60000000000001
0,41220,6794.827940445091,0.0005974478977665362,51.60000000000001
0,41400,6794.826697628511,0.0005976250596414869,51.599999999999994
0,41580,6794.8253708835055,0.0005978201832413923,51.599999999999994
0,41760,6794.824002461534,0.000598019369031368,51.599999999999994
0,41940,6794.82287025501,0.000598175708559294,51.599999999999994
0,42120,6794.821727509902,0.0005983185009773341,51.60000000000001
0,42300,6794.820676481623,0.0005984306612363899,51.60000000000001
0,42480,6794.81960662271,0.0005985206476769128,51.600000000000016
0,42660,6794.818629003887,0.0005985774168230599,51.600000000000016
0,42840,6794.8175605510405,0.0005986091032586169,51.60000000000001
0,43020,6794.816618787121,0.0005986091357429706,51.60000000000001
0,43200,6794.81568425993,0.0005985814853835646,51.60000000000001
0,43380,6794.814597012964,0.0005985184316982089,51.599999999999994
0,43560,6794.8134006693535,0.0005984179126154159,51.599999999999994
0,43740,6794.812184957496,0.0005982883061556442,51.600000000000016
0,43920,6794.810883661053,0.0005981258624768196,51.60000000000003
0,44100,6794.809285584379,0.0005979054220282043,51.60000000000003
0,44280,6794.8077314599705,0.0005976794570608336,51.600000000000044
0,44460,6794.806271431769,0.0005974649946160289,51.600000000000044
0,44640,6794.80487543404,0.0005972662741864758,51.600000000000044
0,44820,6794.803560356936,0.0005970927363411202,51.60000000000005
0,45000,6794.8023127160395,0.0005969478326687054,51.60000000000005
0,45180,6794.801087602911,0.0005968307817487725,51.60000000000005
0,45360,6794.800057985754,0.0005967576684912921,51.60000000000005
0,45540,6794.799089608313,0.0005967154917276612,51.60000000000005
0,45720,6794.797992159025,0.0005966997981173554,51.60000000000005
0,45900,6794.797048962833,0.0005967144609342375,51.600000000000044
0,46080,6794.796111812011,0.0005967564009328845,51.60000000000005
0,46260,6794.795011828206,0.0005968357353989212,51.60000000000005
0,46440,6794.793955233807,0.000596937729164106,51.600000000000065
