,type,time,Mx,My,Mz,Fx,Fy,Fz,wx,wy,wz,q1,q2,q3,q4,q1e,q2e,q3e,q4e,a,e,i,raan,argp,nu,x,y,z,vx,vy,vz,Bbx,Bby,Bbz,Btx,Bty,Btz,latitude,longitude,altitude
0,attitude,0.0,0.0,0.0,0.0,0,0,0,1.6e-05,8e-05,-1.6e-05,0.5917987272921976,0.13113413431145093,0.7817948491996032,0.1462016380164431,0.5917987272921977,0.13113413431145096,0.7817948491996033,0.14620163801644312,6795.099995997623,0.0005999994113440401,0.9005898940290743,1.3543754995475996,6.283185306958245,0.00022569750723366866,1457.3426619007275,6632.80811542049,1.2011790567854492,-4.649540112731788,1.0204977943930287,6.005895180247978,-2.2445855739485257e-05,1.1809948091692492e-05,1.9404641861634073e-05,2.7508487903969096e-05,-1.9150344213126853e-06,-1.6107364029750774e-05,0.010198454878208718,77.60886798766558,412885.9407758545
0,attitude,0.2,5.143490128007409e-07,7.982410126778995e-08,5.463788161736606e-07,0,0,0,5.695296159777765e-07,7.760527696196631e-05,-3.239136448520982e-05,0.5917351561308578,0.13116645089652942,0.7818368579536912,0.1462053169453742,0.5917987272921977,0.13113413431145096,0.7817948491996033,0.14620163801644312,6795.0999921474295,0.0005999988450704467,0.9005898940290743,1.3543754995475996,6.283185306532456,0.00045139521883497125,1456.4127167903482,6633.012046143755,2.4023580520670644,-4.64991095030665,1.0188094292996408,6.005894719919856,-1.7080427314279632e-05,1.3699159006735032e-05,2.4863152347430822e-05,3.169895591605355e-05,-1.987120333204152e-06,-9.42400371366725e-06,0.020396909544215424,77.6177359758309,412885.94310342055
0,attitude,0.4,6.479826126511318e-07,1.2192875645859504e-08,4.384314435176239e-07,0,0,0,-1.8869948763556175e-05,7.723949069259053e-05,-4.554430779073853e-05,0.5916681731282077,0.1311936746298913,0.781878171426008,0.14623104216190783,0.5917987272921977,0.13113413431145096,0.7817948491996033,0.14620163801644312,6795.09998817639,0.0005999982610234342,0.9005898940290744,1.3543754995475996,6.283185305873739,0.0006770931632722466,1455.4826975361254,6633.215639188812,3.6035369247077593,-4.650281551119024,1.0171210123317227,6.005893953785982,-1.7073057952920258e-05,1.370124964312777e-05,2.4866607047777665e-05,3.170254141751716e-05,-1.985641163353955e-06,-9.41104630509656e-06,0.030595363788931854,77.62660396499817,412885.9469826957
0,attitude,0.6000000000000001,6.480740925120816e-07,1.2119422802106478e-08,4.3828075462658284e-07,0,0,0,-3.831217153891862e-05,7.687590800852733e-05,-5.8692730429536015e-05,0.5915969020728767,0.13121342437932612,0.7819198899320389,0.14627859873916635,0.5917987272921977,0.13113413431145096,0.7817948491996033,0.14620163801644312,6795.099984228574,0.0005999976803924602,0.9005898940290745,1.3543754995475996,6.2831853050004645,0.0009027913221597572,1454.552604185414,6633.418894545298,4.8047156135462705,-4.650651915199247,1.015432543586167,6.0058928819099915,-1.7065490092121257e-05,1.3704433445342626e-05,2.4869594438383023e-05,3.170612327020201e-05,-1.984162642066617e-06,-9.398086052827357e-06,0.040793817403064335,77.63547195566939,412885.95241367724
0,attitude,0.8,6.481638111485939e-07,1.204668590163912e-08,4.3813099240714324e-07,0,0,0,-5.775708587337643e-05,7.651450743147816e-05,-7.183666020175032e-05,0.5915213388402435,0.13122569359000227,0.7819620136719662,0.1463479832883002,0.5917987272921977,0.13113413431145096,0.7817948491996033,0.14620163801644312,6795.099980054896,0.0005999970665424948,0.9005898940290745,1.3543754995475996,6.283185303846546,0.0011284897615713163,1453.622436785564,6633.62181220286,6.005894057431717,-4.65102204244329,1.0137440231305264,6.005891504181992,-1.705772376207949e-05,1.3708709077129278e-05,2.487211480556477e-05,3.170970147340392e-05,-1.9826847695687147e-06,-9.385122960201327e-06,0.05099227017740717,77.64433994834668,412885.95939636603
0,attitude,1.0,6.482517644991173e-07,1.1974663800643489e-08,4.3798215109275014e-07,0,0,0,-7.720463880834996e-05,7.615526751745886e-05,-8.497612473453282e-05,0.5914414783488282,0.13123047554558004,0.7820045415297743,0.146439192170132,0.5914414783488283,0.13123047554558007,0.7820045415297744,0.14643919217013202,6795.099975799124,0.000599996440618566,0.9005898940290747,1.3543754995475996,6.283185302434677,0.0013541884587944253,1452.692195383941,6633.824392151171,7.207072195198672,-4.65139193288141,1.0120554510616573,6.005889820665511,-1.704975883440388e-05,1.3714075156029892e-05,2.487416839569806e-05,3.1713276026420904e-05,-1.9812075460866708e-06,-9.372157030560256e-06,0.06119072190263084,77.65320794353207,412885.96793075744
0,attitude,1.2,5.984607067539371e-07,3.0705397821491748e-09,4.0851621437269713e-07,0,0,0,-9.515846001096806e-05,7.606315132399438e-05,-9.723161116571373e-05,0.5913573782780763,0.13122810774803323,0.7820475157272486,0.14655141772698593,0.5914414783488283,0.13123047554558007,0.7820045415297744,0.14643919217013202,6795.099971554211,0.0005999958162920351,0.9005898940290747,1.3543754995475996,6.283185300791646,0.001579887387026524,1451.7618800279104,6634.026634379916,8.408249965686785,-4.651761586526516,1.0103668274726045,6.005887831401666,-1.704160888601109e-05,1.3720490945548504e-05,2.4875767598634606e-05,3.1716846928553255e-05,-1.9797309718468103e-06,-9.35918826724637e-06,0.07138917236944858,77.66207594172758,412885.97801685426
0,attitude,1.4,5.985408320852685e-07,3.001151463098568e-09,4.0838625183918865e-07,0,0,0,-0.00011311468497352612,7.597311678010143e-05,-0.00010948319872088939,0.5912690956536044,0.1312189279380227,0.7820909774049689,0.14668385234068965,0.5914414783488283,0.13123047554558007,0.7820045415297744,0.14643919217013202,6795.099967652914,0.0005999952425034779,0.9005898940290747,1.3543754995475996,6.283185299065987,0.0018055863977206599,1450.8314907648305,6634.228538878795,9.609427307747838,-4.6521310034735315,1.0086781524741526,6.005885536537437,-1.7033287370387368e-05,1.37279157507156e-05,2.48769247563703e-05,3.1720414179103315e-05,-1.97825504707531e-06,-9.346216673601958e-06,0.08158762136867627,77.67094394343532,412885.98965464905
0,attitude,1.5999999999999999,5.98619750015831e-07,2.9326977000868954e-09,4.0825795391205915e-07,0,0,0,-0.00013107327747400105,7.588513584909883e-05,-0.00012173093733825117,0.5911766230569605,0.1312029295673419,0.7821349219912179,0.1468364921458794,0.5914414783488283,0.13123047554558007,0.7820045415297744,0.14643919217013202,6795.099963430781,0.0005999946215277497,0.9005898940290747,1.3543754995475996,6.283185296964841,0.0020312857837256892,1449.9010276420433,6634.430105637541,10.810604160262189,-4.652500183476435,1.0069894261031636,6.005882935779652,-1.7024793753858514e-05,1.373634819205592e-05,2.4877639985019118e-05,3.172397777737592e-05,-1.9767797719982214e-06,-9.333242252969592e-06,0.09178606869137179,77.67981194915762,412886.0028441474
0,attitude,1.7999999999999998,5.986974524756145e-07,2.8651738920583187e-09,4.08131303019897e-07,0,0,0,-0.0001490342010482695,7.579918063233707e-05,-0.0001339748764288481,0.5910799522527279,0.1311801059571353,0.7821793437770438,0.14700933308637504,0.5914414783488283,0.13123047554558007,0.7820045415297744,0.14643919217013202,6795.099959590132,0.0005999940566592299,0.9005898940290747,1.3543754995475996,6.283185294841184,0.0022569851920475337,1448.9704907069447,6634.631334645885,12.011780462045186,-4.652869126756542,1.0053006484977411,6.005880029438448,-1.7016127366606917e-05,1.374578685302768e-05,2.4877913365752293e-05,3.1727537722678e-05,-1.9753051468414127e-06,-9.320265008691568e-06,0.10198451412804065,77.68867995939637,412886.01758533996
