,time,x,y,z,altitude,eccentricity,inclination
0,1499700,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1499400,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1499100,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1498800,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1498500,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1498200,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1497900,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1497600,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1497300,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1497000,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1496700,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1496400,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1496100,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1495800,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1495500,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1495200,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1494900,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1494600,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1494300,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1494000,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1493700,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1493400,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1493100,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1492800,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1492500,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1492200,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1491900,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
0,1491600,7127.3871899999995,0.0,0.0,564.9784277835279,0.026545683464980003,97.69999999999752
